Location,Site_Name,Latitude,Longitude,Solar_GW,Wind_GW,Battery_GWh,System_Capacity_Factor,LCOE_USD_per_MWh,Annual_Load_MWh,Energy_Served_MWh,Unmet_Load_MWh,Overproduction_MWh
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,8.00,0.0016,37123.54,8760000.00,13969.37,8746030.63,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,9.00,0.0016,35905.43,8760000.00,14443.71,8745556.29,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,10.00,0.0017,34764.78,8760000.00,14918.05,8745081.95,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,11.00,0.0018,33694.41,8760000.00,15392.40,8744607.60,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,12.00,0.0018,32688.06,8760000.00,15866.74,8744133.26,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,13.00,0.0019,31740.14,8760000.00,16341.08,8743658.92,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,14.00,0.0019,30845.69,8760000.00,16815.42,8743184.58,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,15.00,0.0020,30000.32,8760000.00,17289.76,8742710.24,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,1.00,0.0014,48961.29,8760000.00,12102.50,8747897.50,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,2.00,0.0014,47115.90,8760000.00,12576.84,8747423.16,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,3.00,0.0015,45404.65,8760000.00,13051.18,8746948.82,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,4.00,0.0015,43813.43,8760000.00,13525.52,8746474.48,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,5.00,0.0016,42330.00,8760000.00,13999.87,8746000.13,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,6.00,0.0017,40943.83,8760000.00,14474.21,8745525.79,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,7.00,0.0017,39645.63,8760000.00,14948.55,8745051.45,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,8.00,0.0018,38427.29,8760000.00,15422.89,8744577.11,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,9.00,0.0018,37281.65,8760000.00,15897.23,8744102.77,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,10.00,0.0019,36202.40,8760000.00,16371.57,8743628.43,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,11.00,0.0019,35183.90,8760000.00,16845.92,8743154.08,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,12.00,0.0020,34221.22,8760000.00,17320.26,8742679.74,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,13.00,0.0020,33309.85,8760000.00,17794.60,8742205.40,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,8.00,0.00,14.00,0.0021,32445.81,8760000.00,18268.94,8741731.06,0.00
